2025-08-12 13:02:21 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:22 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:24 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:25 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:26 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:26 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:27 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:27 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:28 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:29 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:30 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:31 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:32 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:32 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:33 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:33 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:34 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:35 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:35 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
